id,text,author,name,followers,createdAt,likes,retweets,replies,views,lang,url
2103507750450065596,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Tôi cụg muốn bombalabum 1934 LENAMIU PLS LOVE EP3 #PIsLoveรักได้ไหมEP3,raumeocuamiu,ᵖˡˢ Râu Mều của MiuNatsha 🐮🔫,167,Fri Sep 25 15:31:43 +0000 2026,0,0,0,25,vi,https://x.com/raumeocuamiu/status/2103507750450065596
2103506889552310569,Sẽ vướt KPI nhé 954 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,SunsetLM,Sunset🦋🧸,439,Fri Sep 25 15:28:18 +0000 2026,0,0,0,44,vi,https://x.com/SunsetLM/status/2103506889552310569
2103502941625933942,"@SunsetLM @iyz_yuil @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Ep này cả 2 bạn nhỏ đều lên trend chug, chắc phải vượt 500k chứ mng ơiiii 🔥🔥🔥 212 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3",nugu0309,Hehehe,276,Fri Sep 25 15:12:37 +0000 2026,1,0,0,49,vi,https://x.com/nugu0309/status/2103502941625933942
2103499729581576259,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Tui cũng muốn có người nấu bữa sáng cho mình nữa 329 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,Ahnnmon,Ahn Mon:),485,Fri Sep 25 14:59:51 +0000 2026,0,0,0,49,vi,https://x.com/Ahnnmon/status/2103499729581576259
2103499257550696536,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Đã quá PeemParn ơi 317 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,Ahnnmon,Ahn Mon:),485,Fri Sep 25 14:57:58 +0000 2026,0,0,0,39,vi,https://x.com/Ahnnmon/status/2103499257550696536
2103499013094015364,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa ep3 quá đã ròiiii 593 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,lnmjios,ᵖˡˢ gfofkjs,48,Fri Sep 25 14:57:00 +0000 2026,0,0,0,59,vi,https://x.com/lnmjios/status/2103499013094015364
2103498287311692104,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa LenaMiu mãi đỉnh 1810 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,Bemyae2511,ᵖˡˢ Sunflowerrrrr,362,Fri Sep 25 14:54:07 +0000 2026,0,0,0,50,vi,https://x.com/Bemyae2511/status/2103498287311692104
2103498200930045997,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Gô gô nào mí bà 2007 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,Bemyae2511,ᵖˡˢ Sunflowerrrrr,362,Fri Sep 25 14:53:46 +0000 2026,0,0,0,60,vi,https://x.com/Bemyae2511/status/2103498200930045997
2103498134043423145,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Chờ tới 10h nà 508 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,Bemyae2511,ᵖˡˢ Sunflowerrrrr,362,Fri Sep 25 14:53:30 +0000 2026,0,0,0,76,vi,https://x.com/Bemyae2511/status/2103498134043423145
2103497065632600139,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Chờ phát iqiyi xem tiếp nè 828 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,nottinghill2511,Notting Hill 🦋🧸,825,Fri Sep 25 14:49:16 +0000 2026,0,0,0,99,vi,https://x.com/nottinghill2511/status/2103497065632600139
2103496537204781102,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa LenaMiu đỉnh đỉnh 897 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,PhanTuyetTram,Phan Tuyết Trâm,342,Fri Sep 25 14:47:10 +0000 2026,1,0,0,81,vi,https://x.com/PhanTuyetTram/status/2103496537204781102
2103496448088424645,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Có nhiêu chơi nhiêu 380 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,PhanTuyetTram,Phan Tuyết Trâm,342,Fri Sep 25 14:46:48 +0000 2026,0,0,0,107,vi,https://x.com/PhanTuyetTram/status/2103496448088424645
2103496362935640303,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Phim hay lắm nha 208 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,PhanTuyetTram,Phan Tuyết Trâm,342,Fri Sep 25 14:46:28 +0000 2026,0,0,0,104,vi,https://x.com/PhanTuyetTram/status/2103496362935640303
2103496290399367253,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Mình cũng muốn trúng dầu gội nè 2000 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,PhanTuyetTram,Phan Tuyết Trâm,342,Fri Sep 25 14:46:11 +0000 2026,0,0,0,67,vi,https://x.com/PhanTuyetTram/status/2103496290399367253
2103495638264745997,Tối nay hơn 200k trend nhé 199 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,SunsetLM,Sunset🦋🧸,439,Fri Sep 25 14:43:35 +0000 2026,0,0,0,72,vi,https://x.com/SunsetLM/status/2103495638264745997
2103493463333642451,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa LenaMiu forever. 2211 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,jessicajung0114,Jessica Jung,39,Fri Sep 25 14:34:57 +0000 2026,1,0,0,80,en,https://x.com/jessicajung0114/status/2103493463333642451
2103491641541882163,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Tôi vẫn ở đây kiếm dầu gội đầu 2194 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,raumeocuamiu,ᵖˡˢ Râu Mều của MiuNatsha 🐮🔫,167,Fri Sep 25 14:27:42 +0000 2026,0,0,0,106,vi,https://x.com/raumeocuamiu/status/2103491641541882163
